Seed,None,convautoencoder,myConvAE,pca_10,pca_50,pca_100
0,0.511111111,0.577777778,0.544444444,0.6,0.577777778,0.522222222
1,0.366666667,0.444444444,0.488888889,0.611111111,0.511111111,0.433333333
2,0.544444444,0.6,0.544444444,0.688888889,0.611111111,0.566666667
3,0.566666667,0.588888889,0.577777778,0.555555556,0.622222222,0.577777778
4,0.388888889,0.488888889,0.477777778,0.644444444,0.566666667,0.5
5,0.533333333,0.622222222,0.611111111,0.677777778,0.6,0.611111111
,,,,,,
classifier,knn,,,,,
label_type,btype,,,,,
num_examples,1200,,,,,
